id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
816940,Old South Lovely Garden Apartment,4290554,Joyce,,Zuid,52.35323,4.85421,Entire home/apt,165,6,63,2022-11-28,0.54,1,11,2,03632A9BE56A736890D1
528022,Somewhere Else,2594559,Els,,Westerpark,52.39114,4.88846,Private room,100,2,248,2022-11-28,3.30,1,212,37,0363 9289 A94D 5C21 A579
538723,Beautiful ground floor apartment,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.45,1,0,0,0363 D990 F92F DECF 88D4
549310,Family Apartment with Garden,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,2,54,2022-08-10,0.60,1,7,7,0363 35CD 76C9 04D4 1A21
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.34,1,1,0,0363 AD82 ADCF 17F3 C3EA
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,59,3,314,2022-11-06,1.88,1,27,29,0363 5F3A 5684 6750 D14D
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-04-09,2.18,2,0,0,0363 CBB3 2C10 0C2A 1E29
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,140,2,243,2022-11-27,1.83,1,40,17,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,75,2,454,2022-11-20,3.03,2,91,84,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,55,2,602,2022-11-18,4.22,2,142,82,0363 607B EA74 0BD8 2F6F
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,125,3,27,2022-08-29,0.22,2,0,7,0363 957A 9061 D805 A3EC
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,44,2022-08-20,0.30,1,0,3,0363 E76E F06A C1DD 172C
818085,La Vie En Rose B&B Amsterdam Centrum Suite 2,3788898,Christa & Yvon,,Centrum-West,52.3767,4.8919,Private room,166,2,349,2022-12-04,3.31,1,77,67,0363 39AE 18EC 3980 3A24
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,260,3,451,2022-11-22,3.06,1,175,59,0363 576A D827 5085 6B83
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,127,2,363,2022-11-13,2.50,1,211,50,0363 22DC 0E52 B70B 0FB8
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,149,3,95,2020-01-03,0.65,1,31,0,0363 B5A3 5F63 B032 A320
818881,CANAL  APTM. WITH GARDEN IN CENTRE,4297337,Liesbeth,,Centrum-Oost,52.36123,4.89619,Entire home/apt,122,6,15,2022-08-20,0.14,1,134,2,0363 C043 2638 E06E 6A9B
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,0.25,1,0,0,0363 B090 499C D757 7F4F
568446,Pretty apt in the center of A'dam,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,150,2,109,2022-08-04,0.87,1,0,5,0363 2BD0 289D BF51 4A09
834233,"B&B Mondriaan, bright and modern studio",4364462,Margot,,Centrum-Oost,52.37272,4.90418,Private room,128,3,323,2022-11-18,2.67,1,69,23,0363 02A6 5C3D 72B4 EBA2
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,113,3,238,2022-11-26,1.67,4,14,10,0363 4108 6EC3 C2FF 2493
835627,Occasional availability Centre Apt,3054367,Dorine,,Centrum-Oost,52.36899,4.91607,Entire home/apt,180,4,17,2022-11-16,0.14,1,24,2,0363 7FFF 9AB4 C585 EADB
